,admission_num,highest_score
353,6,598
354,3,669
355,8,643
356,6,653
357,7,659
358,43,633
359,20,598
360,4,713
361,31,691
362,22,580
363,28,694
364,33,639
365,87,616
366,12,599
367,2,585
368,6,638
369,10,668
370,22,608
371,34,670
372,20,567
373,25,611
374,5,669
375,10,606
376,8,613
377,92,607
378,11,595
379,2,665
380,11,701
381,31,683
382,7,632
383,4,620
384,6,641
385,12,630
386,2,595
387,2,595
388,10,622
389,4,619
390,14,633
391,16,665
392,19,660
393,37,643
394,22,666
395,7,622
396,11,657
397,2,576
398,4,610
399,2,606
400,24,662
401,19,590
402,8,605
403,42,611
404,8,596
405,32,613
406,6,603
407,17,600
408,10,606
409,6,578
410,2,625
411,10,592
412,17,616
413,8,632
414,11,624
415,19,610
416,6,638
417,23,595
418,10,581
419,12,608
420,9,585
421,13,597
422,8,594
423,12,606
424,6,590
425,17,601
426,14,655
427,6,643
428,5,625
429,13,625
430,34,618
431,3,589
432,8,595
433,2,622
434,18,638
435,5,594
436,7,607
437,7,591
438,9,625
439,9,620
440,4,597
441,25,611
442,10,598
443,12,606
444,1,648
445,12,585
446,6,612
447,21,609
448,3,598
449,8,611
450,19,607
451,9,610
452,4,663
453,4,589
454,13,620
455,2,570
456,13,597
457,19,658
458,25,609
459,4,604
460,3,580
461,43,605
462,20,639
463,13,632
464,2,577
465,50,595
466,12,628
467,4,614
468,8,593
469,27,626
470,11,647
471,13,595
472,11,617
473,13,618
474,14,617
475,26,603
476,45,607
477,9,645
478,13,642
479,15,589
480,8,597
481,7,583
482,32,666
483,4,647
484,15,625
485,7,612
486,11,593
487,13,602
488,37,612
489,3,569
490,33,641
491,22,612
492,5,624
493,5,625
494,15,605
495,12,579
496,10,584
497,31,647
498,6,611
499,3,580
500,7,603
501,10,570
502,18,620
503,3,626
504,9,612
505,9,618
506,34,623
507,16,629
508,2,618
509,14,592
510,16,634
511,54,653
512,52,639
513,26,603
514,13,618
515,64,655
516,43,690
517,19,635
518,47,677
519,21,683
520,12,629
521,17,609
522,56,655
523,21,684
524,79,658
525,37,600
526,27,617
527,28,713
528,10,657
529,24,618
530,19,649
531,21,708
532,22,665
533,1,554
534,6,650
535,47,690
536,19,612
537,22,597
538,10,619
539,2,549
540,18,578
541,39,626
542,5,553
543,124,584
544,43,613
545,15,617
546,18,597
547,74,650
548,87,642
549,57,615
550,18,619
551,42,685
552,68,600
553,5,711
554,71,692
555,40,650
556,42,637
557,41,609
558,69,589
559,22,674
560,13,670
561,35,665
562,93,674
563,8,609
564,9,562
565,2,629
566,7,673
567,52,679
568,63,573
569,129,606
570,12,622
571,1,637
572,3,550
573,2,610
574,25,704
575,21,610
576,27,609
577,14,614
578,5,686
579,3,576
580,17,619
581,11,702
582,16,599
583,11,605
584,10,586
585,76,669
586,50,648
587,33,652
588,12,619
589,87,652
590,59,689
591,87,692
592,88,624
593,52,577
594,9,664
595,75,596
596,10,559
597,85,614
598,16,641
599,4,656
600,17,624
601,20,676
602,42,689
603,13,589
604,5,583
605,31,598
606,17,642
607,3,628
608,87,639
609,88,673
610,116,596
611,50,664
612,39,629
613,10,571
614,26,685
615,38,671
616,34,590
617,88,659
618,10,555
619,6,553
620,29,568
621,85,624
622,82,622
623,17,600
624,41,656
625,33,559
626,5,578
627,4,634
628,2,599
629,18,591
630,10,603
631,22,669
632,3,697
633,8,616
634,8,625
635,1,569
636,14,597
637,9,633
638,8,684
639,50,620
640,3,618
641,33,629
642,14,619
643,22,620
644,23,607
645,19,665
646,25,632
647,17,627
648,58,633
649,4,618
650,17,598
651,22,589
652,15,617
653,10,724
654,30,703
655,27,729
656,45,691
657,89,690
658,25,595
659,48,672
660,3,553
661,7,635
662,7,640
663,7,682
664,2,603
665,14,624
666,36,656
667,143,623
668,71,613
669,42,592
670,15,624
671,6,708
672,8,702
673,6,581
674,10,625
675,64,650
676,20,628
677,5,646
678,27,591
679,29,612
680,57,596
681,6,691
682,16,663
683,99,649
684,10,640
685,25,567
686,30,638
687,94,627
688,65,592
689,49,655
690,2,573
691,74,656
692,43,654
693,93,667
694,127,658
695,85,612
696,282,651
697,30,658
698,22,603
699,62,596
700,9,643
701,71,598
702,137,579
703,33,566
704,5,583
705,43,622
706,5,611
707,19,627
708,30,602
709,35,652
710,5,637
711,15,631
712,10,593
713,23,611
714,18,674
715,90,573
716,28,626
717,60,662
718,9,614
719,82,608
720,81,584
721,27,640
722,93,617
723,11,614
724,17,589
725,4,578
726,15,598
727,29,657
728,10,608
729,20,619
730,2,664
731,26,617
732,16,603
733,5,590
734,3,571
735,20,611
736,20,586
737,49,643
738,72,609
739,17,584
740,13,623
741,21,577
742,8,636
743,24,608
744,6,591
745,294,681
746,169,619
747,201,584
748,139,580
749,65,598
750,3,606
751,4,588
752,96,676
753,60,646
754,12,622
755,133,609
756,30,667
757,71,635
758,9,580
759,66,618
760,34,615
761,79,660
762,39,584
763,11,641
764,45,585
765,29,628
766,20,583
767,26,592
768,18,550
769,22,583
770,36,607
771,21,644
772,19,549
773,23,589
774,50,622
775,28,572
776,54,563
777,47,658
778,38,637
779,44,622
780,41,615
781,68,664
782,74,617
783,75,629
784,104,643
785,90,611
786,59,601
787,51,628
788,48,603
789,50,633
790,40,619
791,46,617
792,85,631
793,23,582
794,28,605
795,55,679
796,47,628
797,19,558
798,66,614
799,35,631
800,27,553
801,30,561
802,52,611
803,33,566
804,65,610
805,70,596
806,11,592
807,55,575
808,35,562
809,30,598
810,28,607
811,34,577
812,83,589
813,76,637
814,163,591
815,73,599
816,141,683
817,54,601
818,70,576
819,92,602
820,74,689
821,14,626
822,33,660
823,18,559
824,13,646
825,7,640
826,77,617
827,16,653
828,126,621
829,5,546
830,21,614
831,256,703
832,44,585
833,54,602
834,44,591
835,31,627
836,46,616
837,57,585
838,128,605
839,61,620
840,43,599
841,622,644
842,1,454
843,241,615
844,105,606
845,405,612
846,10,557
847,50,635
848,51,610
849,10,612
850,1,546
851,32,584
852,95,628
853,20,595
854,185,622
855,45,581
856,8,659
857,18,637
858,5,563
859,9,623
860,11,650
861,25,583
862,14,669
863,5,557
864,21,667
865,20,631
866,15,610
867,15,633
868,10,616
869,23,673
870,7,602
871,41,644
872,16,642
873,33,654
874,32,694
875,205,622
876,380,615
877,215,648
878,5,572
879,22,635
880,36,581
881,60,587
882,28,622
883,60,603
884,34,578
885,60,592
886,25,572
887,6,628
888,39,596
889,81,601
890,228,611
891,54,580
892,145,651
893,48,560
894,17,638
895,184,614
896,119,628
897,60,614
898,55,658
899,82,604
900,10,569
901,34,626
902,126,573
903,2,580
904,179,570
905,105,578
906,7,633
907,22,671
908,2,579
909,1,672
910,5,624
911,5,627
912,2,642
913,5,595
914,5,631
915,10,676
916,8,663
917,5,615
918,5,627
919,25,657
920,1,608
921,7,641
922,13,622
923,48,648
924,6,621
925,2,577
926,4,641
927,22,646
928,6,601
929,1,575
930,6,616
931,5,651
932,2,634
933,5,710
934,39,682
935,6,635
936,3,588
937,6,691
938,2,663
939,17,664
940,1,551
941,6,650
942,29,705
943,20,690
944,20,554
945,5,628
946,5,678
947,1,664
948,28,527
949,2,526
950,39,671
951,22,641
952,3,632
953,5,514
954,8,680
955,30,677
956,14,653
957,12,474
958,2,626
959,22,658
960,89,591
961,18,673
962,11,602
963,46,660
964,4,607
965,1,546
966,4,673
967,3,626
968,3,688
969,25,664
970,1,584
971,1,543
972,58,610
973,2,705
974,1,553
975,10,698
976,7,677
977,1,444
978,68,668
979,6,600
980,63,585
981,2,633
982,2,652
983,5,683
984,9,673
985,1,683
986,2,645
987,2,612
988,6,651
989,4,613
990,3,623
991,4,634
992,4,634
993,6,638
994,4,621
995,3,628
996,2,610
997,7,582
998,5,592
999,3,646
1000,7,654
1001,12,600
1002,1,592
1003,6,636
1004,8,627
1005,2,595
1006,3,675
1007,4,660
1008,9,641
1009,3,629
1010,1,612
1011,2,629
1012,1,605
1013,3,617
1014,2,614
1015,9,656
1016,4,645
1017,6,614
1018,8,601
1019,4,605
1020,2,613
1021,5,602
1022,1,608
1023,3,647
1024,4,591
1025,4,611
1026,2,601
1027,3,599
1028,4,601
1029,14,623
1030,6,646
1031,5,635
1032,11,640
1033,7,628
1034,2,637
1035,12,628
1036,5,591
1037,4,631
1038,10,635
1039,3,618
1040,1,576
1041,10,565
1042,40,613
1043,4,618
1044,6,700
1045,10,686
1046,16,713
1047,20,644
1048,4,628
1049,18,681
1050,20,666
1051,23,631
1052,19,660
1053,24,645
1054,9,674
1055,7,617
1056,4,607
1057,12,647
1058,7,623
1059,14,646
1060,2,568
1061,6,598
1062,10,611
1063,6,552
1064,5,703
1065,5,647
1066,6,601
1067,5,698
1068,14,669
1069,26,671
1070,5,581
1071,10,562
1072,10,597
1073,20,640
1074,20,551
1075,2,650
1076,3,621
1077,10,573
1078,10,613
1079,8,604
1080,30,674
1081,26,638
1082,21,626
1083,5,646
1084,4,660
1085,3,618
1086,13,640
1087,4,619
1088,2,611
1089,3,697
1090,5,629
1091,3,596
1092,15,681
1093,25,646
1094,20,634
1095,31,606
1096,8,584
1097,5,628
1098,10,579
1099,24,594
1100,4,593
1101,8,619
1102,10,688
1103,18,590
1104,21,612
1105,15,644
1106,14,598
1107,15,649
1108,9,614
1109,14,631
1110,8,658
1111,5,578
1112,10,587
1113,14,588
1114,80,606
1115,140,608
1116,7,590
1117,2,601
1118,8,614
1119,9,656
1120,8,591
1121,8,645
1122,7,600
1123,6,643
1124,60,600
1125,50,579
1126,12,571
1127,17,639
1128,17,597
1129,19,621
1130,10,666
1131,8,645
1132,6,592
1133,4,668
1134,16,653
1135,15,626
1136,10,644
1137,17,575
1138,13,584
1139,17,633
1140,4,596
1141,12,553
1142,18,623
1143,10,569
1144,10,564
1145,8,583
1146,15,599
1147,10,571
1148,12,550
1149,22,623
1150,5,643
1151,6,692
1152,18,699
1153,4,617
1154,8,692
1155,13,640
1156,10,581
1157,18,625
1158,24,622
1159,8,596
1160,10,579
1161,21,695
1162,11,600
1163,14,599
1164,2,613
1165,27,618
1166,10,619
1167,7,572
1168,8,580
1169,23,605
1170,30,597
1171,18,641
1172,22,676
1173,35,679
1174,42,629
1175,24,611
1176,20,657
1177,16,582
1178,33,653
1179,38,660
1180,35,646
1181,43,615
1182,34,659
1183,13,649
1184,170,649
1185,75,565
1186,60,577
1187,29,669
1188,23,649
1189,30,610
1190,26,611
1191,19,648
1192,7,571
1193,9,622
1194,3,601
1195,9,618
1196,19,603
1197,17,608
1198,44,640
1199,15,622
1200,14,567
1201,11,620
1202,24,637
1203,11,615
1204,60,600
1205,26,643
1206,23,638
1207,10,582
1208,4,570
1209,5,598
1210,15,577
1211,20,639
1212,5,589
1213,12,567
1214,10,609
1215,12,503
1216,176,570
1217,8,472
1218,86,531
1219,17,659
1220,8,582
1221,8,618
1222,2,633
1223,12,649
1224,3,619
1225,18,650
1226,4,589
1227,6,600
1228,43,613
1229,3,649
1230,2,582
1231,5,581
1232,6,608
1233,17,660
1234,1,676
1235,7,667
1236,8,667
1237,6,620
1238,8,604
1239,8,601
1240,6,596
1241,25,602
1242,45,606
1243,15,596
1244,4,620
1245,14,620
1246,3,595
1247,16,647
1248,19,619
1249,35,650
1250,5,610
1251,28,617
1252,10,573
1253,5,593
1254,2,612
1255,4,597
1256,12,596
1257,8,583
1258,26,667
1259,5,658
1260,24,617
1261,10,584
1262,6,598
1263,3,669
1264,8,643
1265,6,653
1266,7,659
1267,43,633
1268,20,598
1269,4,713
1270,31,691
1271,22,580
1272,28,694
1273,33,639
1274,87,616
1275,12,599
1276,2,585
1277,6,638
1278,10,668
1279,22,608
1280,34,670
1281,20,567
1282,25,611
1283,5,669
1284,10,606
1285,8,613
1286,92,607
1287,11,595
1288,2,665
1289,11,701
1290,31,683
1291,7,632
1292,4,620
1293,6,641
1294,12,630
1295,2,595
1296,2,595
1297,10,622
1298,4,619
1299,14,633
1300,16,665
1301,19,660
1302,37,643
1303,22,666
1304,7,622
1305,11,657
1306,2,576
1307,4,610
1308,2,606
1309,24,662
1310,19,590
1311,8,605
1312,42,611
1313,8,596
1314,32,613
1315,6,603
1316,17,600
1317,10,606
1318,6,578
1319,2,625
1320,10,592
1321,17,616
1322,8,632
1323,11,624
1324,19,610
1325,6,638
1326,23,595
1327,10,581
1328,12,608
1329,9,585
1330,13,597
1331,8,594
1332,12,606
1333,6,590
1334,17,601
1335,14,655
1336,6,643
1337,5,625
1338,13,625
1339,34,618
1340,3,589
1341,8,595
1342,2,622
1343,18,638
1344,5,594
1345,7,607
1346,7,591
1347,9,625
1348,9,620
1349,4,597
1350,25,611
1351,10,598
1352,12,606
1353,1,648
1354,12,585
1355,6,612
1356,21,609
1357,3,598
1358,8,611
1359,19,607
1360,9,610
1361,4,663
1362,4,589
1363,13,620
1364,2,570
1365,13,597
1366,19,658
1367,25,609
1368,4,604
1369,3,580
1370,43,605
1371,20,639
1372,13,632
1373,2,577
1374,50,595
1375,12,628
1376,4,614
1377,8,593
1378,27,626
1379,11,647
1380,13,595
1381,11,617
1382,13,618
1383,14,617
1384,26,603
1385,45,607
1386,9,645
1387,13,642
1388,15,589
1389,8,597
1390,7,583
1391,32,666
1392,4,647
1393,15,625
1394,7,612
1395,11,593
1396,13,602
1397,37,612
1398,3,569
1399,33,641
1400,22,612
1401,5,624
1402,5,625
1403,15,605
1404,12,579
1405,10,584
1406,31,647
1407,6,611
1408,3,580
1409,7,603
1410,10,570
1411,18,620
1412,3,626
1413,9,612
1414,9,618
1415,34,623
1416,16,629
1417,2,618
1418,14,592
1419,16,634
1420,54,653
1421,52,639
1422,26,603
1423,13,618
1424,64,655
1425,43,690
1426,19,635
1427,47,677
1428,21,683
1429,12,629
1430,17,609
1431,56,655
1432,21,684
1433,79,658
1434,37,600
1435,27,617
1436,28,713
1437,10,657
1438,24,618
1439,19,649
1440,21,708
1441,22,665
1442,1,554
1443,6,650
1444,47,690
1445,19,612
1446,22,597
1447,10,619
1448,2,549
1449,18,578
1450,39,626
1451,5,553
1452,124,584
1453,43,613
1454,15,617
1455,18,597
1456,74,650
1457,87,642
1458,57,615
1459,18,619
1460,42,685
1461,68,600
1462,5,711
1463,71,692
1464,40,650
1465,42,637
1466,41,609
1467,69,589
1468,22,674
1469,13,670
1470,35,665
1471,93,674
1472,8,609
1473,9,562
1474,2,629
1475,7,673
1476,52,679
1477,63,573
1478,129,606
1479,12,622
1480,1,637
1481,3,550
1482,2,610
1483,25,704
1484,21,610
1485,27,609
1486,14,614
1487,5,686
1488,3,576
1489,17,619
1490,11,702
1491,16,599
1492,11,605
1493,10,586
1494,76,669
1495,50,648
1496,33,652
1497,12,619
1498,87,652
1499,59,689
1500,87,692
1501,88,624
1502,52,577
1503,9,664
1504,75,596
1505,10,559
1506,85,614
1507,16,641
1508,4,656
1509,17,624
1510,20,676
1511,42,689
1512,13,589
1513,5,583
1514,31,598
1515,17,642
1516,3,628
1517,87,639
1518,88,673
1519,116,596
1520,50,664
1521,39,629
1522,10,571
1523,26,685
1524,38,671
1525,34,590
1526,88,659
1527,10,555
1528,6,553
1529,29,568
1530,85,624
1531,82,622
1532,17,600
1533,41,656
1534,33,559
1535,5,578
1536,4,634
1537,2,599
1538,18,591
1539,10,603
1540,22,669
1541,3,697
1542,8,616
1543,8,625
1544,1,569
1545,14,597
1546,9,633
1547,8,684
1548,50,620
1549,3,618
1550,33,629
1551,14,619
1552,22,620
1553,23,607
1554,19,665
1555,25,632
1556,17,627
1557,58,633
1558,4,618
1559,17,598
1560,22,589
1561,15,617
1562,10,724
1563,30,703
1564,27,729
1565,45,691
1566,89,690
1567,25,595
1568,48,672
1569,3,553
1570,7,635
1571,7,640
1572,7,682
1573,2,603
1574,14,624
1575,36,656
1576,143,623
1577,71,613
1578,42,592
1579,15,624
1580,6,708
1581,8,702
1582,6,581
1583,10,625
1584,64,650
1585,20,628
1586,5,646
1587,27,591
1588,29,612
1589,57,596
1590,6,691
1591,16,663
1592,99,649
1593,10,640
1594,25,567
1595,30,638
1596,94,627
1597,65,592
1598,49,655
1599,2,573
1600,74,656
1601,43,654
1602,93,667
1603,127,658
1604,85,612
1605,282,651
1606,30,658
1607,22,603
1608,62,596
1609,9,643
1610,71,598
1611,137,579
1612,33,566
1613,5,583
1614,43,622
1615,5,611
1616,19,627
1617,30,602
1618,35,652
1619,5,637
1620,15,631
1621,10,593
1622,23,611
1623,18,674
1624,90,573
1625,28,626
1626,60,662
1627,9,614
1628,82,608
1629,81,584
1630,27,640
1631,93,617
1632,11,614
1633,17,589
1634,4,578
1635,15,598
1636,29,657
1637,10,608
1638,20,619
1639,2,664
1640,26,617
1641,16,603
1642,5,590
1643,3,571
1644,20,611
1645,20,586
1646,49,643
1647,72,609
1648,17,584
1649,13,623
1650,21,577
1651,8,636
1652,24,608
1653,6,591
1654,294,681
1655,169,619
1656,201,584
1657,139,580
1658,65,598
1659,3,606
1660,4,588
1661,96,676
1662,60,646
1663,12,622
1664,133,609
1665,30,667
1666,71,635
1667,9,580
1668,66,618
1669,34,615
1670,79,660
1671,39,584
1672,11,641
1673,45,585
1674,29,628
1675,20,583
1676,26,592
1677,18,550
1678,22,583
1679,36,607
1680,21,644
1681,19,549
1682,23,589
1683,50,622
1684,28,572
1685,54,563
1686,47,658
1687,38,637
1688,44,622
1689,41,615
1690,68,664
1691,74,617
1692,75,629
1693,104,643
1694,90,611
1695,59,601
1696,51,628
1697,48,603
1698,50,633
1699,40,619
1700,46,617
1701,85,631
1702,23,582
1703,28,605
1704,55,679
1705,47,628
1706,19,558
1707,66,614
1708,35,631
1709,27,553
1710,30,561
1711,52,611
1712,33,566
1713,65,610
1714,70,596
1715,11,592
1716,55,575
1717,35,562
1718,30,598
1719,28,607
1720,34,577
1721,83,589
1722,76,637
1723,163,591
1724,73,599
1725,141,683
1726,54,601
1727,70,576
1728,92,602
1729,74,689
1730,14,626
1731,33,660
1732,18,559
1733,13,646
1734,7,640
1735,77,617
1736,16,653
1737,126,621
1738,5,546
1739,21,614
1740,256,703
1741,44,585
1742,54,602
1743,44,591
1744,31,627
1745,46,616
1746,57,585
1747,128,605
1748,61,620
1749,43,599
1750,622,644
1751,1,454
1752,241,615
1753,105,606
1754,405,612
1755,10,557
1756,50,635
1757,51,610
1758,10,612
1759,1,546
1760,32,584
1761,95,628
1762,20,595
1763,185,622
1764,45,581
1765,8,659
1766,18,637
1767,5,563
1768,9,623
1769,11,650
1770,25,583
1771,14,669
1772,5,557
1773,21,667
1774,20,631
1775,15,610
1776,15,633
1777,10,616
1778,23,673
1779,7,602
1780,41,644
1781,16,642
1782,33,654
1783,32,694
1784,205,622
1785,380,615
1786,215,648
1787,5,572
1788,22,635
1789,36,581
1790,60,587
1791,28,622
1792,60,603
1793,34,578
1794,60,592
1795,25,572
1796,6,628
1797,39,596
1798,81,601
1799,228,611
1800,54,580
1801,145,651
1802,48,560
1803,17,638
1804,184,614
1805,119,628
1806,60,614
1807,55,658
1808,82,604
1809,10,569
1810,34,626
1811,126,573
1812,2,580
1813,179,570
1814,105,578
1815,7,633
1816,22,671
1817,2,579
1818,31,591
1819,114,563
1820,268,582
1821,10,559
1822,43,600
1823,60,602
1824,25,598
1825,15,544
1826,11,617
1827,47,617
1828,57,595
1829,50,555
1830,31,577
1831,40,587
1832,5,558
1833,4,580
1834,12,560
1835,7,558
1836,90,589
1837,72,602
1838,65,575
1839,92,586
1840,35,627
1841,18,592
1842,117,559
1843,10,540
