author,content
"
璃白°
","


在外面逛街，一个女生有急事而手机没电的，我热心的把电话借给她打，她打着就和对方吵起来了，我看人多，会吵到别人，就让她回避下，到旁边巷子里打，我陪她，然后一入巷子转角，她人不见了。。。。第二天没手机用了，最要紧事怕人家说我憨兮兮的，只好去买一部同机型的二手的顶着。用了两天，同事说你手机上你的名字标好漂亮哪里打的，我看了下手机背面，回忆道:去年大景城那里打的。。。​

"
"
芭蕉窗下听雨声
","


跟刚回来的老公说：你知道一句话吗？只羡鸳鸯不羡仙。老公歪着脑袋看我半天说：你确定？我坚定的点点头。谁知他立马拿出手机说：来，自己看看。我一看是：鸳鸯雌鸟在家养育幼崽，雄鸟到别处求偶。[笑哭][笑哭]

"
"
赵兄托你帮半点事
","


早上起床时，那种困顿，那种悔恨，那种生不如死的感觉。都让我想杀了昨晚的自己。可是每天凌晨，那种自信，那种嚣张，那种精神抖擞，不可一世的感觉。我甚至不记得自己是谁。[捂脸][捂脸]

"
"
净心居士
","


和胖丫是同事，我们又在同一组工作。时间久了我们互有好感，但是公司规定同事之间又不能恋爱。为了不破坏公司规定，我们对着电脑开始了网恋[哈哈][哈哈][哈哈][哈哈][哈哈]

"
"
夏有凉风秋望月
","


小的时候，我特别皮，整天像个男孩子一样的疯玩。有个叫净心的小男孩整天跟在我身后保护着我，那时候不懂事，我笑着说:长大了，我娶你当媳妇吧！净心害羞的说:我是男孩，长大了应该是我娶你才对！若干年后，我早已是一个亭亭玉立的大菇凉，可以净心却不来找我。果然男人的嘴骗人的鬼，就因为我0.1吨吗？怕抱不动我吗？我可以抱你的。。。。。

"
"
忧郁的创可贴
","


公司企划部找我合拍了一张照片，说是公司宣传用，对这种热心的事情，我当然配合啦。。。这期的公众号首页推送，我在很耀眼的C位，主题是  公司关爱大龄未婚员工，积极主动为她们搭造鹊桥，鼓励她们树立未来幸福信心。。。

"
"
金失&金华…
","


小时候有个和尚来我们村化缘，奶奶平时礼佛，就请他来家里吃饭！当时感觉他头上的小洞洞好玩，我身材矮小就爬到饭桌上，摸着他的光头！奶奶说我没大没小，把我赶了下来！我跑到厨房，拿起一个蜂窝煤，来到他身边说:“大师伯伯，你头上的洞是蜂窝煤贴上去，烫出来的吗？”大师笑容一滞，奶奶连忙呵斥我！ 我说：“真的啊，你看他头发都被烧没了！”大师大笑，夸我有慧根，还说要把我带走，奶奶也同意了。额米豆腐，所
…
查看全文"
"
-小门神~
","


那年，我和同桌林小六逃课去上 网。我爸和林叔去逮我们，他们都怒不可遏却舍不得打，毕竟亲生的呀！他们在网吧门口抽了根烟，很快达成共识:我爸打小六，林叔打楼主！打完后，俩爹相视一笑，皆感叹道:儿子终于不是自己亲生的了，爽 啊……

"
"
九头纪
","


上高中时候学校出钱盖了栋家属楼，老师们都很高兴，一天校长给老师们开会说：这家属楼优先考虑都在本校任职的教师夫妇，其次是已婚者，单身的排后！他这会一开不要紧学校里平时互相爱慕的，已经确定关系的，以前谈过又分开的老师都密集订婚结婚，好不热闹！

"
"
-小门神~
","


儿子不爱洗zao，我拿着橡皮在纸上使劲搓，橡皮 泥垢一层层剥落！儿子不懂。小姨子懂了，说:橡皮泥垢就像搓下来的zao泥！你爸爸让你去洗zao！儿子恍然大悟，惊道:我都不懂，小姨你为啥懂呢？是不是爸爸经常帮你洗…我没有[笑哭]……

"
"
忧郁的创可贴
","


主管跟我们年纪差不多，做人也没什么架子，总是能跟我们打成一片。今天因为工作犯错被主管训，最后他说，你想气死我是不是？我谄媚：  说啥呢大哥，我怎么敢呀?他生气：  你别叫我大哥！我诧异： 难道。。。。。。我应该叫你大嫂？

"
"
夏有凉风秋望月
","


我前一段时间买了一盒魔力海绵擦，就是擦瓷砖什么的，真的挺好用。然而我今晚脑子一抽，就用海绵擦，使劲儿的擦了擦手臂上的一个小斑，搓了一会儿，感觉还行，好像真的斑淡了。正得意呢，觉得自己还挺聪明的。结果发现我开始过敏了，又红又肿还痒。男友下班回家我委屈的告诉他，想求安慰。谁知道他来了一句:你怎么这么聪明，你怎么不用这个搓澡呢？？？以为我听不懂，气的我上去就是一脚，有婆婆在还反了你。

"
"
韧带可谓好的不得了…
","


消防，那年12年去处置跳楼，一个个儿不高的女孩子在8楼平台坐着要跳楼，记得当时冬天，那女孩子还带着毛线帽子，因为男朋友要分手。我一到场就问那女孩子有什么要求，那女孩子冷冷的说：“叫我男朋友过来。”我那时一年处置高空救援一百多起，经验丰富的很，随口就说：“你多大就有男朋友了？我今年26连女孩子手都没牵过。”那女孩子回过头白了我一眼，就说：“就你那长相，估计要再等等。”我一看有转机，马上接话说：“等你再老点？说不定就将就了。”我这一说，那女孩子就破涕笑了，叹了口气就从平台外面朝我走了过来，一进
…
查看全文"
"
沐沐茜
","


作为护士，我最怕的是给新生儿采血，因为真的很痛。很多宝宝本来像小天使一样睡着，突然脚跟被扎，会疼得立即大哭起来。有次遇到了一个很勇敢的宝宝，脱掉小袜子，开始扎，每次进行到这步时，我自己都心惊肉跳。哎？？天哪！宝宝没哭啊！好勇敢啊！赶紧趁机挤一下血。还没哭！采完血，边夸宝宝边给他穿上小袜子：宝宝好勇敢！真是小男子汉！这时只听“哇”的一长声，直接哭到脸都发紫上不来气。。。。每次这时我都充满了“负罪”心理，赶紧抱起宝宝在病房里走走拍拍，哄了好久才止哭。（感谢观众们听我的故事）

"
"
凉心ヽ
","


前文讲过，我“瘸”了一条腿，在家养伤中…今天朋友来家里看我，聊着聊着就聊到今天是中元节，传说中鬼门大开，问我怕不怕？朋友面前当然不能怂，坚定以及肯定的说：不怕啊！这时我老公冒出来一句：她怕也没用，要真是有鬼来了，我们全都跑了，就她自己一条腿蹦跶着跑，能把鬼再乐死一回！！

"
